embedding_row,job_id,provider,scenario_id,task_family,condition,perturbation_family,lambda,repetition,prompt_sha256,output_word_count,model_requested,model_returned,timestamp_utc,response_sha256,embedded_at_utc,embedding_model
0,dd735f85efc4e855314c6224,qwen,CR01,contextual_reasoning,nominal,,0.0,0,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,68,Qwen/Qwen3-4B,Qwen/Qwen3-4B,2026-08-29T15:55:22.269511+00:00,3a3e19fd820f6399e5bb9b7e63637df08b12ec2e25ac0eefba338f96a594e004,2026-08-29T18:47:41.503347+00:00,BAAI/bge-small-en-v1.5
1,ee67a7e81edfa15d124235a4,qwen,CR01,contextual_reasoning,nominal,,0.0,1,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,56,Qwen/Qwen3-4B,Qwen/Qwen3-4B,2026-08-29T15:57:05.826758+00:00,ceb61cd9e39b1b3e89274a59f6c8ddf70188579af13a28a894f97172943046be,2026-08-29T18:47:41.503347+00:00,BAAI/bge-small-en-v1.5
2,cc582d7c3b4f2d243db44456,qwen,CR01,contextual_reasoning,nominal,,0.0,2,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,57,Qwen/Qwen3-4B,Qwen/Qwen3-4B,2026-08-29T15:57:07.437490+00:00,8c22f4d0aca028e0580eaeb4117407b0126acab2d74c89e3efaa2b6466afd158,2026-08-29T18:47:41.503347+00:00,BAAI/bge-small-en-v1.5
3,ff2e372d7115570ebc0b66ed,qwen,CR01,contextual_reasoning,nominal,,0.0,3,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,58,Qwen/Qwen3-4B,Qwen/Qwen3-4B,2026-08-29T15:57:09.070178+00:00,0effde17de6863cbad7d2f28e2dcdc96015f5be688e6af83c3f51df12516219b,2026-08-29T18:47:41.503347+00:00,BAAI/bge-small-en-v1.5
4,efdc414e75f9738bd2179714,qwen,CR01,contextual_reasoning,nominal,,0.0,4,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,56,Qwen/Qwen3-4B,Qwen/Qwen3-4B,2026-08-29T15:57:10.658634+00:00,85f791d2eba1c3e013d0cdd89e3724a3592a293055397c42f7589aa517331e1c,2026-08-29T18:47:41.503347+00:00,BAAI/bge-small-en-v1.5
5,d7919e7a4a5c34e6f6368db1,qwen,CR01,contextual_reasoning,nominal,,0.0,5,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,63,Qwen/Qwen3-4B,Qwen/Qwen3-4B,2026-08-29T15:57:12.401745+00:00,9f4c33ea8b3fecf57fd438a2980477275f9039a8839a72ffe7e06f7f3b3e6121,2026-08-29T18:47:41.503347+00:00,BAAI/bge-small-en-v1.5
6,108d421f77eeeefd2d271045,qwen,CR01,contextual_reasoning,nominal,,0.0,6,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,64,Qwen/Qwen3-4B,Qwen/Qwen3-4B,2026-08-29T15:57:14.255323+00:00,7f19616e23895e6f6252cea1f542e140e553f1476dff2b832b5454acae8a2c4d,2026-08-29T18:47:41.503347+00:00,BAAI/bge-small-en-v1.5
7,84f56997950a7a032d841d36,qwen,CR01,contextual_reasoning,nominal,,0.0,7,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,53,Qwen/Qwen3-4B,Qwen/Qwen3-4B,2026-08-29T15:57:15.712642+00:00,f972f09f7840aa48ab3863b39d1f52cbbd6645292f71d8f3217dae44d1ffbd24,2026-08-29T18:47:41.503347+00:00,BAAI/bge-small-en-v1.5
8,7ee78856df44ea4a439cd78c,qwen,CR01,contextual_reasoning,nominal,,0.0,8,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,71,Qwen/Qwen3-4B,Qwen/Qwen3-4B,2026-08-29T15:57:17.701353+00:00,5ed49c0e87f07cfea7544a9672687787d2e7e81d3e624d66db7f73d7a0167761,2026-08-29T18:47:41.503347+00:00,BAAI/bge-small-en-v1.5
9,bd9a2cd610a71de544a279a7,qwen,CR01,contextual_reasoning,nominal,,0.0,9,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,58,Qwen/Qwen3-4B,Qwen/Qwen3-4B,2026-08-29T15:57:19.335910+00:00,affb60b7e46320525a444f6f85038beb5f91aa1a6933cc4ffc96d01bd23f16d5,2026-08-29T18:47:41.503347+00:00,BAAI/bge-small-en-v1.5
10,6dfa97da6c2516d95851a93b,qwen,CR01,contextual_reasoning,nominal,,0.0,10,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,62,Qwen/Qwen3-4B,Qwen/Qwen3-4B,2026-08-29T15:57:21.059023+00:00,4ee67e14d4211bcbd259b9f6debc4a438bca7ab0bc91ad974bd3f2f4e5616831,2026-08-29T18:47:41.503347+00:00,BAAI/bge-small-en-v1.5
11,4a84c07185d6ee41a87ba770,qwen,CR01,contextual_reasoning,nominal,,0.0,11,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,61,Qwen/Qwen3-4B,Qwen/Qwen3-4B,2026-08-29T15:57:22.760119+00:00,8b71f9859d9ad3704e2b07c9504bb5f2f192f77f7fffb2a673c18b954fc9629b,2026-08-29T18:47:41.503347+00:00,BAAI/bge-small-en-v1.5
12,bbfd94c151367d9e025b10e2,qwen,CR01,contextual_reasoning,nominal,,0.0,12,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,66,Qwen/Qwen3-4B,Qwen/Qwen3-4B,2026-08-29T15:57:24.594108+00:00,08c458cbed411b98ef1fda8d2755a9f62a4b4ee7c3b3bf5a30f45f71b42d51b0,2026-08-29T18:47:41.503347+00:00,BAAI/bge-small-en-v1.5
13,7898391bad8f30b0b7fce081,qwen,CR01,contextual_reasoning,nominal,,0.0,13,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,62,Qwen/Qwen3-4B,Qwen/Qwen3-4B,2026-08-29T15:57:26.339545+00:00,7aa80a9dc08548b3ba7e6ec27216deb4612679a11f9de27970e8e0b3d843c45c,2026-08-29T18:47:41.503347+00:00,BAAI/bge-small-en-v1.5
14,cd86a759484f9eedf426a1fb,qwen,CR01,contextual_reasoning,nominal,,0.0,14,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,52,Qwen/Qwen3-4B,Qwen/Qwen3-4B,2026-08-29T15:57:27.772853+00:00,5bceb42b678675c1506d9b1a55443c4edae9516ef61a214d7699291bfc5f60bd,2026-08-29T18:47:41.503347+00:00,BAAI/bge-small-en-v1.5
15,0402bce343ec673bb515c67c,qwen,CR01,contextual_reasoning,nominal,,0.0,15,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,64,Qwen/Qwen3-4B,Qwen/Qwen3-4B,2026-08-29T15:57:29.518292+00:00,83512eb64144bc021748d48f06b30a94d24be19b3d646226023e6941e373d3b2,2026-08-29T18:47:41.503347+00:00,BAAI/bge-small-en-v1.5
16,d18b3c521ed8ce95523285fe,qwen,CR01,contextual_reasoning,nominal,,0.0,16,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,63,Qwen/Qwen3-4B,Qwen/Qwen3-4B,2026-08-29T15:57:31.263725+00:00,9f4c33ea8b3fecf57fd438a2980477275f9039a8839a72ffe7e06f7f3b3e6121,2026-08-29T18:47:41.503347+00:00,BAAI/bge-small-en-v1.5
17,8099d96b7921a6dbbe447748,qwen,CR01,contextual_reasoning,nominal,,0.0,17,10f693335eb7b88d7e89b73103cd3fc8b6fd56d3575250bb2c8d106959cfdab3,57,Qwen/Qwen3-4B,Qwen/Qwen3-4B,2026-08-29T15:57:32.873742+00:00,2da2f098cab88fabf35aaa1658e6fa0127b1aa286f90c4d9d2b5ff869b334f96,2026-08-29T18:47:41.503347+00:00,BAAI/bge-small-en-v1.5
